"Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
"260","260","1","1","2858","858","2064","2858","260","1617","1214","919","1617","1197","260","593","1196","1304"
"1196","1196","3114","1097","1197","608","246","1196","1097","541","2716","1288","924","1210","1196","2762","2028","590"
"1198","1198","2355","919","2396","1617","162","2028","2797","1252","1387","1220","1252","2396","2571","2571","527","3671"
"2028","1197","1148","3114","1270","296","1147","593","1073","913","1219","588","904","356","1210","608","110","1266"
"2571","1210","2987","34","2997","50","1189","527","2628","2987","1278","364","913","912","589","589","1210","1201"
"858","919","3751","2355","356","1221","3007","318","2174","1267","1258","899","903","1265","1270","1617","356","2701"
"1197","480","588","3751","1","1213","2859","858","2968","3435","1997","595","1732","1307","1240","50","912","3037"
"110","1259","745","1073","1265","2000","2677","608","2872","3683","1215","1028","1625","1247","1214","1240","1200","2951"
"1210","1580","364","588","1136","1089","1361","110","2100","1748","3499","1282","1269","1230","541","1214","750","553"
"589","1291","2700","364","2716","1234","2693","296","2140","1284","1333","1035","1284","969","1097","457","1208","1283"
"1240","2916","595","595","1259","2692","1289","1193","2161","922","2160","1947","1212","2692","1200","1200","1222","368"
"1214","3175","1282","1028","3114","47","1797","912","247","1179","2288","2081","800","920","480","1036","1242","3508"
"1221","590","2081","1282","1580","2194","556","1221","1019","2186","2664","2300","3176","1674","750","924","969","3030"
"457","969","2761","2081","1304","910","1649","1097","2193","1248","3081","914","648","1393","1580","908","1233","266"
"3578","1374","2080","551","1307","293","581","919","2087","930","1994","551","3386","293","924","1610","1250","3681"
"1200","2987","594","2761","2791","2268","549","3578","3479","3334","1407","2080","3730","899","3471","1252","1090","599"
"480","1127","1223","2080","2804","1953","1050","1213","2005","1260","2366","594","2686","377","32","904","1294","3467"
"1580","1204","720","594","2918","1500","3182","1259","1967","942","968","2078","2076","2248","2916","1219","1204","2921"
"1036","1073","2078","3396","34","592","3653","924","2105","1344","2455","1380","3044","2406","3175","111","920","2012"
"1387","733","1022","2078","2324","6","1192","1704","367","2203","1261","2863","1909","357","1206","1089","1262","2527"
"1291","1262","2018","2140","1230","1732","3077","908","2021","164","1321","1022","160","1721","1374","1358","3753","3365"
"1610","1356","1274","1022","1278","1396","2330","1225","2138","3706","2648","3545","1086","1094","3793","3147","1299","3871"
"1304","2406","2137","2018","1394","3435","1111","2804","3439","2726","253","2087","1092","380","1127","2916","1094","2401"
"2000","2628","3000","2161","2355","1084","1827","1247","673","3364","2167","1029","1950","2291","1584","47","780","3494"
"1222","380","2087","2137","2000","3362","3679","2959","3440","2066","3476","1032","3476","17","1199","1127","2890","1378"
"2916","592","1029","1019","2599","1912","363","34","1126","2940","1982","3159","911","39","1356","903","1272","3873"
"1242","1287","596","546","1234","1179","3859","923","2253","1069","1645","2096","950","11","2628","1674","3448","2922"
"969","349","1032","2087","1968","1945","3327","2324","810","2182","2657","2657","1645","1947","780","293","1408","1209"
"2692","2115","3429","1029","1784","3104","759","3471","3877","746","1345","2565","942","1408","1527","1267","1263","3074"
"1233","1215","3159","2450","223","1248","206","111","2015","707","610","2394","1597","1172","3527","745","1256","432"
"1374","1376","1907","596","3175","2580","3281","1208","3438","1068","2617","1381","2467","2081","2529","733","2944","3093"
"1220","2968","2096","1032","1148","555","3142","2000","3153","1601","2746","2746","1805","1244","1396","1953","1960","3682"
"3793","2871","741","3159","1288","1466","602","32","2622","1783","2719","2303","1264","440","1653","377","1183","714"
"1127","648","610","1907","1079","2542","116","1358","2","2727","1350","900","3801","898","1215","3527","2067","383"
"2194","2640","2085","2096","2797","2391","3680","3147","653","1152","2118","945","1964","1639","2701","6","161","2478"
"1954","3104","2394","2005","3481","2985","3677","1961","1702","320","1389","2857","492","2020","1376","1732","1224","416"
"2019","1275","2139","1967","3421","2001","3338","1222","317","1154","1348","1093","1590","539","1077","1625","2662","3737"
"733","1254","2294","2085","1220","2917","3188","1968","3466","3121","2995","1081","2208","914","1748","474","3035","3487"
"3418","2006","2687","2139","1923","1729","3865","1784","2162","2008","2338","2971","2338","1912","3702","3256","3196","3368"
"1953","316","2857","2294","1294","3334","2323","150","126","1153","1339","1298","164","265","2968","1269","3654","3792"
"377","2366","2138","2720","3897","3735","3539","590","2143","2631","1347","661","906","2502","3703","349","1217","2016"
"1201","10","3034","2687","3671","866","3002","1242","258","3292","2713","3061","350","2080","2640","1653","3545","1379"
"1356","1261","661","2053","3751","1562","1865","1207","3889","3305","2003","2946","3788","1101","1253","1249","1944","1008"
"2406","1562","1023","3397","1276","2278","2494","1288","60","3380","1976","3675","2311","597","2288","1748","3811","3311"
"3753","160","673","531","1073","1260","77","1233","2399",NA,"1972","1088","931","497","2664","2763","3062","458"
"2628","29","3745","2138","910","3763","1169","1250","2054",NA,"1340","1760","3706","1188","1573","1212","3836","487"
"380","2161","1025","3034","588","3019","1123","1090","1920",NA,"2644","3549","1589","25","2985","2871","1178","996"
"780","1274","2141","2046","1641","3265","1310","3897","2173",NA,"2456","1066","1644","902","316","2353","151","964"
"1527","1129","1688","661","2395","1645","99","1276","1009",NA,"3576","2088","2206","555","2407","3176","1927","3806"
"2947","1372","2116","3439","3363","942","722","920","1750",NA,"1862","73","1711","1183","1965","1608","2427","1928"
