"Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
"2019","1198","745","919","745","858","1147","2019","260","922","1278","899","904","912","260","745","527","3030"
"858","260","1148","3114","1148","50","1189","318","1097","3435","1219","919","1212","3307","750","50","1178","1304"
"1198","1204","720","1","3030","3435","2859","858","247","913","1214","1288","913","1197","2571","904","750","1283"
"260","1262","1223","2761","3307","1221","556","527","1073","1252","1258","1066","1252","898","1196","1212","912","1201"
"1221","1197","3429","1023","3022","1234","1361","1178","2797","1267","1387","914","1284","930","541","2762","1204","1266"
"2028","1196","3114","1097","1223","1260","246","1207","2138","1284","1348","945","903","1172","1214","908","1250","599"
"2571","1254","3000","1282","3429","910","2064","912","2872","2186","2648","2300","3730","899","1240","593","1262","3365"
"1197","969","1","1028","1136","296","162","3030","1019","1260","1997","1947","950","969","1253","1252","3134","3671"
"1233","919","741","34","2324","1213","2677","1193","2968","930","2664","2565","3801","1247","1200","1267","2028","3037"
"1196","3000","2761","595","1234","1945","581","923","3479","541","1340","3606","1617","2692","1199","2571","1233","3508"
"969","1291","1023","3751","2858","608","1192","3307","2087","2203","2716","1220","942","916","741","2186","1196","1209"
"110","1303","1274","262","1197","2692","3007","1250","2140","1617","1333","1035","2208","928","2010","1260","1224","3467"
"2692","1287","1282","1073","898","1617","1797","908","1967","3683","2644","907","911","2935","1206","930","3091","2951"
"1304","1259","595","364","910","1248","1827","1221","3153","1248","1261","2303","1269","2920","924","903","1217","3681"
"1218","29","3751","3396","2937","942","1289","3089","2161","942","3499","1282","1950","2208","29","2203","1272","590"
"1242","1931","364","2355","1172","2726","3182","593","2174","2726","2160","3545","906","911","589","608","969","714"
"1214","1210","2355","2139","905","3265","2693","3134","2173","2066","1215","1028","800","1066","1210","3634","1299","2921"
"1240","940","2139","594","1276","1089","1649","2028","3466","3334","2288","2863","1086","914","3471","678","1208","553"
"3000","2871","594","2138","1278","47","1050","2324","2005","2940","2654","595","924","945","1175","1617","110","3871"
"3265","1274","2138","2137","951","293","549","1131","2193","1069","1321","3061","1264","1230","1270","1219","3196","3074"
"1201","590","2137","2078","2804","1953","3653","2731","2015","3364","3932","364","2206","2396","1077","1248","1256","2401"
"1291","1374","2078","3159","3462","1084","3327","2858","2100","1344","1982","900","2686","1211","1301","1358","1927","2922"
"1200","1073","3159","2080","3897","3334","3142","2360","2628","1748","3727","594","1625","293","1097","928","1242","3494"
"1036","3104","2080","588","3114","3741","3865","1233","2021","1179","2118","3675","931","933","32","1218","3035","3093"
"1222","1275","588","531","916","2917","1191","953","2105","2987","1994","2971","2467","1944","1274","2208","1200","3682"
"1287","1261","2700","2081","1304","3783","37","1203","2622","164","3576","3910","123","58","2664","111","1294","3873"
"3578","3366","2081","1022","1256","2194","77","1196","367","3706","968","73","3044","356","2660","911","1939","368"
"457","1215","1022","596","2935","3735","99","1172","2043","707","2366","2078","1913","446","1374","1269","1222","266"
"1953","1085","596","3034","3629","3362","108","1224","2143","1783","1350","199","3788","1244","2662","1214","1263","2527"
"1387","3175","3034","1907","2208","2268","116","2357","2453","320","1345","3159","1964","936","1748","3147","3811","1378"
"589","3168","1907","2018","911","555","128","3091","653","746","3476","2080","2076","1307","3793","1240","1944","383"
"1264","480","2018","3397","1288","3364","134","3469","60","1068","1407","918","3386","2067","1215","1089","1090","2012"
"1610","3406","2096","551","955","3019","136","296","2","1152","610","3549","1732","1947","1921","1200","356","2478"
"1210","1580","1032","2096","1269","290","137","1213","317","1153","2633","588","492","28","2288","1036","2067","1007"
"2194","3494","2857","1012","1066","2542","192","1945","1009","1154","253","2946","1484","1264","3175","47","1210","303"
"2944","349","1029","1019","1235","2000","206","1217","1848","1601","3081","2081","2583","1226","1584","293","2944","1379"
"2951","733","2987","1032","3035","6","363","1272","3489","2008","2782","1022","2184","3097","480","457","2670","996"
"940","1356","2687","1029","945","3521","398","1132","788","2182","2550","551","3476","17","3932","933","920","2016"
"3062","941","2087","2687","1449","1227","404","926","2017","2631","2097","2096","164","1210","1580","1953","1960","432"
"2947","1019","1025","2087","1","3104","443","608","2054","2727","1347","1032","1092","2248","1396","906","1289","2701"
"3654","2968","2099","2140","2300","2580","602","1276","2093","3121","2159","2857","3176","497","2117","3334","3062","210"
"1954","2406","2085","1967","1230","3328","604","1225","1920","3292","2167","3604","1909","920","2529","1086","3742","416"
"1220","1127","2394","1025","2788","2130","682","3730","558","3305","3627","1951","1805","1296","1653","965","3654","458"
"555","2916","3213","2083","1537","866","683","1299","3438","3380","3018","1029","1645","1674","1356","924","41","487"
"2924","2987","2899","2161","2396","1500","722","919","2399",NA,"3676","2087","648","943","1019","589","2202","964"
"3836","2115","610","986","909","1912","727","1247","673",NA,"3928","901","2311","1946","2968","1264","3836","967"
"2948","3479","1688","2099","2997","1466","756","678","2253",NA,"2455","1298","1597","2020","1127","1610","3545","1008"
"2000","3461","2048","2085","1294","1179","759","1208","1702",NA,"1645","3599","3706","915","3576","2819","2662","1118"
"1277","1376","2294","1017","2918","2391","769","954","258",NA,"2867","938","350","3475","1965","2917","3342","1386"
"1374","2366","2090","1013","1211","2952","787","3468","3889",NA,"3550","1081","2414","1265","2916","2206","946","1928"
